Location,Airport,IATA
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Libreville,Libreville International Airport,LBV
Port-Gentil,Port-Gentil International Airport,POG
Banjul,Banjul International Airport,BJL
Accra,Kotoka International Airport,ACC
Tamale,Tamale Airport,TML
Conakry,Conakry International Airport,CKY
Bissau,Osvaldo Vieira International Airport,OXB
Bubaque,Bubaque Airport,BQE
Eldoret,Eldoret International Airport,EDL
Mombasa,Moi International Airport,MBA
Kisumu,Kisumu International Airport,KIS
Nairobi,Jomo Kenyatta International Airport,NBO
Maseru,Moshoeshoe I International Airport,MSU
Monrovia,Roberts International Airport,ROB
Benghazi,Benina International Airport,BEN
Sabha,Sebha Airport,SEB
Tripoli,Tripoli International Airport,TIP
Tajoura,Mitiga International Airport,MJI
Antananarivo,Ivato International Airport,TNR
Antsiranana,Arrachart Airport,DIE
Mahajanga,Amborovy Airport,MJN
Nosy Be,Fascene Airport,NOS
Toamasina,Toamasina Airport,TMM
Tolanaro,Tolanaro Airport,FTU
Toliara,Toliara Airport,TLE
Blantyre,Chileka International Airport,BLZ
Lilongwe,Lilongwe International Airport,LLW
Bamako,Senou International Airport,BKO
Nouakchott,Nouakchott-Oumtounsy International Airport,NKC
Nouadhibou,Nouadhibou International Airport,NDB
Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU
Dzaoudzi,Dzaoudzi-Pamandzi International Airport,DZA
Agadir,Al Massira Airport,AGA
Casablanca,Mohammed V International Airport,CMN
Fes,Fes-Saiss Airport,FEZ
Marrakech,Marrakech-Menara Airport,RAK
Nador,Nador International Airport,NDR
Oujda,Angads Airport,OUD
Rabat,Rabat-Sale Airport,RBA
Tangier,Tangier-Boukhalef Airport,TNG
Tetouan,Sania Ramel Airport,TTU
Dakhla,Dakhla Airport,VIL
La-youne,Hassan I Airport,EUN
Maputo,Maputo International Airport,MPM
Beira,Beira Airport,BEW
Inhambane,Inhambane Airport,INH
Nampula,Nampula Airport,APL
Pemba,Pemba Airport,POL
Tete,Chingozi Airport,TET
Vilankulo,Vilankulo Airport,VNX
Windhoek,Hosea Kutako International Airport,WDH
Walvis Bay,Walvis Bay Airport,WVB
Niamey,Diori Hamani International Airport,NIM
Abuja,Nnamdi Azikiwe International Airport,ABV
Calabar,Margaret Ekpo International Airport,CBQ
"Asaba, Delta",Asaba International Airport,ABB
Kano,Mallam Aminu Kano International Airport,KAN
Lagos,Murtala Mohammed International Airport,LOS
Port Harcourt,Port Harcourt International Airport,PHC
Enugu,Akanu Ibiam International Airport,ENU
Sokoto,Sadiq Abubakar III International Airport,SKO
Saint-Denis,Roland Garros Airport,RUN
Kigali,Kigali International Airport,KGL
Saint Helena,Saint Helena Airport,HLE
Sao Tome,Sao Tome International Airport,TMS
Dakar,Blaise Diagne International Airport,DKR
Victoria,Seychelles International Airport,SEZ
Freetown,Lungi International Airport,FNA
Bosaso,Bosaso Airport,BSA
Galkayo,Abdullahi Yusuf Airport,GBY
Garowe,Garowe Airport,GGR
Hargeisa,Hargeisa Airport,HGA
Kismayo,Kismayo Airport,KMU
Mogadishu,Aden Adde International Airport,MGQ
Cape Town,Cape Town International Airport,CPT
Durban,King Shaka International Airport,DUR
Johannesburg,OR Tambo International Airport,JNB
Nelspruit,Kruger Mpumalanga International Airport,MQP
Johannesburg,Lanseria International Airport,HLA
East London,East London Airport,ELS
Juba,Juba International Airport,JUB
Khartoum,Khartoum International Airport,KRT
Port Sudan,Port Sudan New International Airport,PZU
Dar es Salaam,Julius Nyerere International Airport,DAR
Hai District,Kilimanjaro International Airport,JRO
"Unguja, Zanzibar",Abeid Amani Karume International Airport,ZNZ
Lome,Tokoin Airport,LFW
Djerba,Zarzis Airport,DJE
Enfidha,Enfidha-Hammamet International Airport,NBE
Monastir,Habib Bourguiba International Airport,MIR
Sfax,Thyna International Airport,SFA
Tabarka,Tabarka-A-n Draham International Airport,TBJ
Tozeur,Nefta International Airport,TOE
Tunis,Carthage International Airport,TUN
Entebbe,Entebbe International Airport,EBB
Livingstone,Harry Mwanga Nkumbula International Airport,LVI
Lusaka,Kenneth Kaunda International Airport,LUN
Ndola,Simon Mwansa Kapwepwe International Airport,NLA
Harare,Robert Gabriel Mugabe International Airport,HRE
Victoria Falls,Victoria Falls Airport,VFA
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ
The Valley,Clayton J. Lloyd International Airport,AXA
Antigua,VC Bird International Airport,ANU
Oranjestad,Queen Beatrix International Airport,AUA
Nassau,Lynden Pindling International Airport,NAS
Chub Cay,Chub Cay International Airport,CCZ
Exuma,Exuma International Airport,GGT
Freeport,Grand Bahama International Airport,FPO
South Eleuthera,Rock Sound International Airport,RSD
Marsh Harbour,Marsh Harbour International Airport,MHH-1-
Bridgetown,Grantley Adams International Airport,BGI
Road Town,Terrance B. Lettsome International Airport,EIS
"Kralendijk, Bonaire",Flamingo International Airport,BON
"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX
Saba,Juancho E. Yrausquin Airport,SAB
Cayman Brac,Charles Kirkconnell International Airport,CYB
Georgetown,Owen Roberts International Airport,GCM
Camaguey,Ignacio Agramonte International Airport,CMW
Cayo Coco,Jardines del Rey Airport,CCC
Cayo Largo del Sur,Vilo Acu-a Airport,CYO
Cienfuegos,Jaime Gonzalez Airport,CFG
Havana,Jose Mart- International Airport,HAV
Holgu-n,Frank Pa-s Airport,HOG
Santa Clara,Abel Santa Mar-a Airport,SNU
Santiago de Cuba,Antonio Maceo Airport,SCU
Varadero,Juan Gualberto Gomez Airport,VRA
Willemstad,Hato International Airport,CUR
Roseau,Melville Hall Airport,DOM
Barahona,Mar-a Montez International Airport,BRX
La Romana,La Romana International Airport,LRM
Punta Cana,Punta Cana International Airport,PUJ
Samana,Samana El Catey International Airport,AZS
San Felipe de Puerto Plata,Gregorio Luperon International Airport,POP
Santiago de los Caballeros,Cibao International Airport,STI
Santo Domingo,Las Americas International Airport,SDQ
Grenada,Maurice Bishop International Airport,GND
Pointe---Pitre,P-le Cara-bes International Airport,PTP
Cap-Ha-tien,Cap-Ha-tien International Airport,CAP
Port-au-Prince,Toussaint Louverture International Airport,PAP
Kingston,Norman Manley International Airport,KIN
Montego Bay,Sangster International Airport,MBJ
Fort-de-France,Martinique Aime Cesaire International Airport,FDF
Brades,John A. Osborne Airport,MNI
Aguadilla,Rafael Hernandez Airport,BQN
San Juan,Luis Mu-oz Mar-n International Airport,SJU
St. Jean,Gustaf III Airport,SBH
Saint Kitts,Robert L. Bradshaw International Airport,SKB
Vieux Fort Quarter,Hewanorra International Airport,UVF
Kingstown,Argyle International Airport,SVD
Canouan,Canouan Airport,CIW
Philipsburg,Princess Juliana International Airport,SXM
Port of Spain,Piarco International Airport,POS
Tobago,Arthur Napoleon Raymond Robinson International Airport (formerly Crown Point International Airport),TAB
Providenciales,Providenciales Airport,PLS
Saint Thomas,Cyril E. King Airport,STT
Saint Croix,Henry E. Rohlsen Airport,STX
Belize City,Philip S. W. Goldson International Airport,BZE
Liberia,Daniel Oduber Quiros International Airport,LIR
San Jose de Costa Rica,Juan Santamar-a International Airport,SJO
San Salvador,Monse-or oscar Arnulfo Romero International Airport,SAL
Flores,Mundo Maya International Airport,FRS
Guatemala City,La Aurora International Airport,GUA
La Ceiba,Goloson International Airport,LCE
Roatan,Juan Manuel Galvez International Airport,RTB
San Pedro Sula,Ramon Villeda Morales International Airport,SAP
Tegucigalpa,Toncontin International Airport,TGU
Managua,Augusto C. Sandino International Airport,MGA
Bluefields,Bluefields Airport,BEF
Corn Island,Corn Island Airport,RNI
Puerto Cabezas,Puerto Cabezas Airport,PUZ
Bocas del Toro,-Bocas del Toro --Isla Colon-- International Airport-,BOC
"David, Chiriquí",Enrique Malek International Airport,DAV
Panama City,Tocumen International Airport,PTY
"St. George's, Bermuda",L.F. Wade International Airport,BDA
Calgary,Calgary International Airport,YYC
Edmonton,Edmonton International Airport,YEG
Whitehorse,Erik Nielsen Whitehorse International Airport,YXY
Gander,Gander International Airport,YQX
Halifax (Goffs),Halifax Stanfield International Airport,YHZ
Hamilton,John C. Munro Hamilton International Airport,YHM
Kelowna,Kelowna International Airport,YLK
London,London International Airport,YXU
Moncton (Dieppe),Greater Moncton International Airport,YQM
Montreal (Dorval),Montreal-Pierre Elliott Trudeau International Airport,YUL
Ottawa,Ottawa Macdonald-Cartier International Airport,YOW
Quebec City,Quebec/Jean Lesage International Airport,YQB
Regina,Regina International Airport,YQR
Saskatoon,Saskatoon John G. Diefenbaker International Airport,YXE
St. John's,St. John's International Airport,YYT
Toronto (Mississauga),Toronto Pearson International Airport,YYZ
Vancouver (Richmond),Vancouver International Airport,YVR
Victoria,Victoria International Airport,YYJ
Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG
Kangerlussuaq,Kangerlussuaq Airport,SFJ
Nuuk,Nuuk Airport,GOH
Ilulissat,Ilulissat Airport,JAV
Narsarsuaq,Narsarsuaq Airport,UAK
Acapulco,General Juan N. Alvarez International Airport,ACA
Aguascalientes,Lic. Jes-s Teran Peredo International Airport,AGU
Canc-n,Cancun International Airport,CUN
Chihuahua,Roberto Fierro Villalobos International Airport,CUU
Ciudad del Carmen,Ciudad del Carmen International Airport,CME
Cozumel,Cozumel International Airport,CZM
Culiacan,Federal de Bachigualato International Airport,CUL
Durango,General Guadalupe Victoria International Airport,DGO
Guadalajara,Don Miguel Hidalgo y Costilla International Airport,GDL
Hermosillo,Hermosillo International Airport,HMO
Huatulco,Bah-as de Huatulco International Airport,HUX
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH
Leon,Del Baj-o International Airport,BJX
Loreto,Loreto International Airport,LTO
Los Cabos,Los Cabos International Airport,SJD
Manzanillo,Playa de Oro International Airport,ZLO
Mazatlan,General Rafael Buelna International Airport,MZT
Merida,Manuel Crescencio Rejon International Airport,MID
Mexico City,Mexico City International Airport,MEX
Monterrey,General Mariano Escobedo International Airport,MTY
Morelia,General Francisco J. Mujica International Airport,MLM
Oaxaca,Xoxocotlan International Airport,OAX
Puebla,Hermanos Serdan International Airport,PBC
Puerto Vallarta,Lic. Gustavo D-az Ordaz International Airport,PVR
Queretaro,Queretaro Intercontinental Airport,QRO
Reynosa,General Lucio Blanco International Airport,REX
Saltillo,Plan de Guadalupe International Airport,SLW
San Luis Potos-,Ponciano Arriaga International Airport,SLP
Tampico,General Francisco Javier Mina International Airport,TAM
Tijuana,Gral. Abelardo L. Rodr-guez International Airport,TIJ
Toluca,Lic. Adolfo Lopez Mateos International Airport,TLC
Torreon,Francisco Sarabia International Airport,TRC
Tuxtla Gutierrez,Angel Albino Corzo International Airport,TGZ
Uruapan,Uruapan International Airport,UPN
Veracruz,General Heriberto Jara International Airport,VER
Villahermosa,Carlos Rovirosa Perez International Airport,VSA
Zacatecas,General Leobardo C. Ruiz International Airport,ZCL
Saint-Pierre,Saint-Pierre Airport,FSP
Akron,Akron Executive Airport,AKC
Albany,Albany International Airport,ALB
Albuquerque,Albuquerque International Sunport,ABQ
Anchorage,Ted Stevens Anchorage International Airport,ANC
Appleton,Appleton International Airport,ATW
Atlanta,Hartsfield-Jackson Atlanta International Airport,ATL
Atlantic City,Atlantic City International Airport,ACY
Austin,Austin-Bergstrom International Airport,AUS
Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI
Bangor,Bangor International Airport,BGR
Birmingham,Birmingham-Shuttlesworth International Airport,BHM
Boise,Boise Airport,BOI
Boston,Logan International Airport,BOS
Buffalo,Buffalo Niagara International Airport,BUF
Charlotte,Charlotte/Douglas International Airport,CLT
Charleston (SC),Charleston International Airport,CHS
Chicago,Chicago Midway International Airport,MDW
Chicago,O'Hare International Airport,ORD
Cincinnati,Cincinnati/Northern Kentucky International Airport,CVG
Cleveland,Cleveland Hopkins International Airport,CLE
Columbus (OH),John Glenn Columbus International Airport,CMH
Columbus (OH),Rickenbacker International Airport,LCK
Dallas,Dallas/Fort Worth International Airport,DFW
Dayton (OH),Dayton International Airport,DAY
Denver,Denver International Airport,DEN
Des Moines (IA),Des Moines International Airport,DSM
Detroit,Detroit Metropolitan Wayne County Airport,DTW
Fairbanks,Fairbanks International Airport,FAI
Fort Lauderdale,Fort Lauderdale-Hollywood International Airport,FLL
Fort Myers,Southwest Florida International Airport,RSW
Fresno,Fresno Yosemite International Airport,FAT
Hartford,Bradley International Airport,BDL
Green Bay,Green Bay-Austin Straubel International Airport,GRB
Greensboro,Piedmont Triad International Airport,GSO
Hilo,Hilo International Airport,ITO
Honolulu,Daniel K. Inouye International Airport,HNL
Houston,George Bush Intercontinental Airport,IAH
Houston,William P. Hobby Airport,HOU
Huntsville (AL),Huntsville International Airport,HSV
Indianapolis,Indianapolis International Airport,IND
Jacksonville,Jacksonville International Airport,JAX
Juneau,Juneau International Airport,JNU
Kansas City,Kansas City International Airport,MCI
Ketchikan,Ketchikan International Airport,KTN
Key West,Key West International Airport,EYW
Kona,Kona International Airport,KOA
Knoxville,McGhee Tyson Airport,TYS
Lakeland,Lakeland Linder International Airport,LAL
Lansing,Capital Region International Airport,LAN
Las Vegas,McCarran International Airport,LAS
Little Rock,Clinton National Airport,LIT
Los Angeles,Los Angeles International Airport,LAX
Louisville,Louisville International Airport,SDF
Melbourne (FL),Melbourne International Airport,MLB
Memphis,Memphis International Airport,MEM
Miami,Miami International Airport,MIA
Midland,Midland International Air - Space Port,MAF
Milwaukee,General Mitchell International Airport,MKE
Minneapolis/St. Paul,Minneapolis-Saint Paul International Airport,MSP
Myrtle Beach,Myrtle Beach International Airport,MYR
Nashville,Nashville International Airport,BNA
New Orleans,Louis Armstrong New Orleans International Airport,MSY
New York City,John F. Kennedy International Airport,JFK
New York City,LaGuardia Airport,LGA
Newark,Newark Liberty International Airport,EWR
Newburgh,Stewart International Airport,SWF
Norfolk (VA),Norfolk International Airport,ORF
Oakland,Metropolitan Oakland International Airport,OAK
Oklahoma City,Will Rogers World Airport,OKC
Omaha,Eppley Airfield,OMA
Ontario,Ontario International Airport,ONT
Orange County,John Wayne Airport,SNA
Orlando,Orlando International Airport,MCO
Orlando/Sanford,Orlando Sanford International Airport,SFB
Palm Springs,Palm Springs International Airport,PSP
Panama City Beach,Northwest Florida Beaches International Airport,ECP
Pensacola,Pensacola International Airport,PNS
Philadelphia,Philadelphia International Airport,PHL
Phoenix,Phoenix Sky Harbor International Airport,PHX
Phoenix/Mesa,Phoenix-Mesa Gateway Airport,AZA
Pittsburgh,Pittsburgh International Airport,PIT
Portland (ME),Portland International Jetport,PWM
Portland (OR),Portland International Airport,PDX
Providence,T.F. Green Airport,PVD
Raleigh/Durham,Raleigh-Durham International Airport,RDU
Reno,Reno-Tahoe International Airport,RNO
Richmond,Richmond International Airport,RIC
Rochester (MN),Rochester International Airport,RST
Rochester (NY),Greater Rochester International Airport,ROC
Rockford,Chicago Rockford International Airport,RFD
Sacramento,Sacramento International Airport,SMF
Salt Lake City,Salt Lake City International Airport,SLC
San Antonio,San Antonio International Airport,SAT
San Bernardino,San Bernardino International Airport,SBD
San Diego,San Diego International Airport,SAN
San Francisco,San Francisco International Airport,SFO
San Jose (CA),San Jose International Airport,SJC
Sarasota/Bradenton,Sarasota-Bradenton International Airport,SRQ
Savannah (GA)/Hilton Head (SC),Savannah/Hilton Head International Airport,SAV
Seattle,Kenmore Air Harbor Seaplane Base,LKE
Seattle,King County International Airport,BFI
Seattle,Seattle-Tacoma International Airport,SEA
Snohomish County (WA),Paine Field,PAE
Spokane,Spokane International Airport,GEG
St. Louis,Lambert-Saint Louis International Airport,STL
St. Petersburg (FL),St. Petersburg-Clearwater International Airport,PIE
Syracuse,Syracuse Hancock International Airport,SYR
Tallahassee,Tallahassee International Airport,TLH
Tampa,Tampa International Airport,TPA
"Washington, D.C.",Ronald Reagan Washington National Airport**,DCA
"Washington, D.C.",Washington Dulles International Airport,IAD
West Palm Beach,Palm Beach International Airport,PBI
Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International Airport,AVP
Wilmington (NC),Wilmington International Airport,ILM
Buenos Aires,Ministro Pistarini International Airport,EZE
Buenos Aires,Aeroparque Jorge Newbery,AEP
Cordoba,Ingeniero Ambrosio L.V. Taravella International Airport,COR
Mendoza,Governor Francisco Gabrielli International Airport,MDZ
Puerto Iguaz-,Cataratas del Iguaz- International Airport,IGR
Resistencia,Resistencia International Airport,RES
Rio Gallegos,Piloto Civil N. Fernandez International Airport,RGL
San Carlos de Bariloche,Teniente Luis Candelaria International Airport,BRC
Ushuaia,Ushuaia International Airport,USH
La Paz,El Alto International Airport,LPB
Santa Cruz de la Sierra,Viru Viru International Airport,VVI
Cochabamba,Jorge Wilstermann International Airport,CBB
Aracaju,Santa Maria Airport,AJU
Belem,Val de Caes International Airport,BEL
Belo Horizonte,Tancredo Neves International Airport,CNF
Boa Vista,Boa Vista International Airport,BVB
Brasilia,Brasilia International Airport,BSB
Campinas,Viracopos International Airport,VCP
Campo Grande,Campo Grande International Airport,CGR
Cuiaba,Marechal Rondon International Airport,CGB
Curitiba,Afonso Pena International Airport,CWB
Florianopolis,Herc-lio Luz International Airport,FLN
Fortaleza,Pinto Martins International Airport,FOR
Foz do Iguacu,Cataratas International Airport,IGU
Goiania,Santa Genoveva Airport,GYN
Joao Pessoa,Presidente Castro Pinto International Airport,JPA
Maceio,Zumbi dos Palmares International Airport,MCZ
Manaus,Eduardo Gomes International Airport,MAO
Natal,Greater Natal International Airport,NAT
Petrolina,Senador Nilo Coelho Airport,PNZ
Porto Alegre,Salgado Filho International Airport,POA
Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH
Recife,Guararapes International Airport,REC
Rio Branco,Rio Branco International Airport,RBR
Rio de Janeiro,Rio de Janeiro-Galeao International Airport,GIG
Rio de Janeiro,Santos Dumont Airport,SDU
Salvador,Deputado Lu-s Eduardo Magalhaes International Airport,SSA
Sao Luis,Marechal Cunha Machado International Airport,SLZ
Sao Paulo,Sao Paulo-Congonhas Airport,CGH
Sao Paulo,Sao Paulo-Guarulhos International Airport,GRU
Teresina,Teresina Airport,THE
Uberlandia,Uberlandia Airport,UDI
Vitoria,Eurico de Aguiar Salles Airport,VIX
Antofagasta,Cerro Moreno International Airport,ANF
Concepcion,Carriel Sur International Airport,CCP
Puerto Montt,El Tepual International Airport,PMC
Punta Arenas,Presidente Carlos Iba-ez del Campo International Airport,PUQ
Santiago de Chile,Comodoro Arturo Merino Ben-tez International Airport,SCL
Armenia,El Eden International Airport,AXM
Barranquilla,Ernesto Cortissoz International Airport,BAQ
Bogota,El Dorado International Airport,BOG
Bucaramanga,Palonegro International Airport,BGA
Cali,Alfonso Bonilla Aragon International Airport,CLO
Cartagena de Indias,Rafael N--ez International Airport,CTG
Cucuta,Camilo Daza International Airport,CUC
Leticia,Alfredo Vasquez Cobo International Airport,LET
Medellin,Jose María Cordova International Airport,MDE
Pereira,Matecana International Airport,PEI
San Andres,Gustavo Rojas Pinilla International Airport,ADZ
Santa Marta,Simon Bol-var International Airport,SMR
Cuenca,Mariscal Lamar International Airport,CUE
Esmeraldas,Carlos Concha Torres International Airport,ESM
Guayaquil,Jose Joaqu-n de Olmedo International Airport,GYE
Machala,Santa Rosa International Airport,ETR
Manta,Eloy Alfaro International Airport,MEC
Quito,Mariscal Sucre International Airport,UIO
Tulcan,Teniente Coronel Luis a Mantilla International Airport,TUA
Mount Pleasant,RAF Mount Pleasant,MPN
Cayenne,Cayenne-Rochambeau Airport,CAY
Georgetown,Cheddi Jagan International Airport,GEO
Asuncion,Silvio Pettirossi International Airport,ASU
Ciudad del Este,Guaran- International Airport,AGT
Arequipa,Rodr-guez Ballon International Airport,AQP
Cusco,Alejandro Velasco Astete International Airport,CUZ
Lima,Jorge Chavez International Airport,LIM
Paramaribo,Johan Adolf Pengel International Airport,PBM
Montevideo,Carrasco International Airport,MVD
Punta del Este,Capitan Corbeta CA Curbelo International Airport,PDP
Rivera,Rivera International Airport,RVY
Caracas,Simon Bol-var International Airport,CCS
Maracaibo,La Chinita International Airport,MAR
Valencia,Arturo Michelena International Airport,VLN
Aktau,Aktau Airport,SCO
Almaty,Almaty International Airport,ALA
Atyrau,Atyrau Airport,GUW
Karaganda,Karaganda Airport,KGF
Kostanay,Kostanay Airport,KSN
Nur-Sultan,Nursultan Nazarbayev International Airport,TSE
Shymkent,Shymkent Airport,CIT
Oral,Oral Ak Zhol Airport,URA
Bishkek,Manas Airport,FRU
Osh,Osh Airport,OSS
Dushanbe,Dushanbe Airport,DYU
Khujand,Khujand Airport,LBD
Ashgabat,Ashgabat Airport,ASB
Mary,Mary International Airport,MYP
Turkmenbashi,Turkmenbashi International Airport,KRW
Namangan,Namangan Airport,NMA
Tashkent,Tashkent International Airport,TAS
Pyongyang,Pyongyang International Airport,FNJ
Akita,Akita Airport,AXT
Aomori,Aomori Airport,AOJ
Fukuoka,Fukuoka Airport,FUK
Hakodate,Hakodate Airport,HKD
Kagoshima,Kagoshima Airport,KOJ
Komatsu,Komatsu Airport,KMQ
Hiroshima,Hiroshima Airport,HIJ
Kitakyushu,New Kitakyushu Airport,KKJ
Nagasaki,Nagasaki Airport,NGS
Naha,Naha Airport,OKA
Nagoya,Chubu Centrair International Airport,NGO
Niigata,Niigata Airport,KIJ
Oita,Oita Airport,OIT
Okayama,Okayama Airport,OKJ
Osaka,Kansai International Airport,KIX
Sapporo,New Chitose Airport,CTS
Sendai,Sendai Airport,SDJ
Shizuoka,Shizuoka Airport,FSZ
Tokyo/Yokohama,Haneda International Airport,HND
Tokyo/Chiba,Narita International Airport,NRT
Ulan Bator,Chinggis Khaan International Airport,ULN
Beihai,Beihai Fucheng Airport,BHY
Beijing,Beijing Capital International Airport,PEK
Beijing,Beijing Daxing International Airport,PKX
Changchun,Changchun Longjia International Airport,CGQ
Changsha,Changsha Huanghua International Airport,CSX
Changzhou,Changzhou Benniu Airport,CZX
Chengdu,Chengdu Shuangliu International Airport,CTU
Chongqing,Chongqing Jiangbei International Airport,CKG
Dandong,Dandong Langtou Airport,DDG
Dalian,Dalian Zhoushuizi International Airport,DLC
Dunhuang,Dunhuang Airport,DNH
Fuzhou,Fuzhou Changle International Airport,FOC
Guangzhou,Guangzhou Baiyun International Airport,CAN
Guilin,Guilin Liangjiang International Airport,KWL
Guiyang,Guiyang Longdongbao Airport,KWE
Haikou,Haikou Meilan International Airport,HAK
Hangzhou,Hangzhou Xiaoshan International Airport,HGH
Harbin,Harbin Taiping International Airport,HRB
Hefei,Hefei Xinqiao International Airport,HFE
Huizhou,Huizhou Pingtan Airport,HUZ
Jieyang,Jieyang Chaoshan International Airport,SWA
Jinan,Jinan Yaoqiang International Airport,TNA
Kunming,Kunming Changshui International Airport,KMG
Lanzhou,Lanzhou Zhongchuan International Airport,LHW
Lhasa,Lhasa Gonggar Airport,LXA
Liuzhou,Liuzhou Bailian Airport,LZH
Luoyang,Luoyang Beijiao Airport,LYA
Mianyang,Mianyang Nanjiao Airport,MIG
Mudanjiang,Mudanjiang Airport,MDG
Nanchang,Nanchang Changbei International Airport,KHN
Nanjing,Nanjing Lukou International Airport,NKG
Nanning,Nanning Wuxu International Airport,NNG
Nantong,Nantong Xingdong Airport,NTG
Ningbo,Ningbo Lishe International Airport,NGB
Qingdao,Qingdao liuting International Airport,TAO
Quanzhou,Quanzhou Jinjiang International Airport,JJN
Sanya,Sanya Phoenix International Airport,SYX
Shanghai,Shanghai Hongqiao International Airport,SHA
Shanghai,Shanghai Pudong International Airport,PVG
Shenyang,Shenyang Taoxian International Airport,SHE
Shenzhen,Shenzhen Bao'an International Airport,SZX
Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW
Wuxi,Sunan Shuofang International Airport,WUX
Taiyuan,Taiyuan Wusu International Airport,TYN
Tianjin,Tianjin Binhai International Airport,TSN
Tianshui,Tianshui Airport,THQ
urumqi,urumqi Diwopu International Airport,URC
Weihai,Weihai International Airport,WEH
Wenzhou,Wenzhou Yongqiang Airport,WNZ
Wuhan,Wuhan Tianhe International Airport,WUH
Xiamen,Xiamen Gaoqi International Airport,XMN
Xian,Xian Xianyang International Airport,XIY
Xiangyang,Xiangyang Airport,XFN
Xining,Xining Caojiabao Airport,XNN
Xichang,Xichang Qingshan Airport,XIC
Xuzhou,Xuzhou Guanyin Airport,XUZ
Yancheng,Yancheng Nanyang Airport,YNZ
Yanji,Yanji Airport,YNJ
Yantai,Yantai Penglai International Airport,YNT
Yinchuan,Yinchuan Hedong International Airport,INC
Zhangjiajie,Zhangjiajie Hehua Airport,DYG
Zhangye,Zhangye Ganzhou Airport,YZY
Zhengzhou,Zhengzhou Xinzheng International Airport,CGO
Zhoushan,Zhoushan Putuoshan Airport,HSN
Zhuhai,Zhuhai Jinwan Airport,ZUH
Hong Kong,Hong Kong International Airport,HKG
Macau,Macau International Airport,MFM
Kaohsiung,Kaohsiung International Airport,KHH
Taichung,Taichung International Airport,RMQ
Taipei,Taipei Songshan Airport,TSA
Taoyuan,Taoyuan International Airport,TPE
Busan,Gimhae International Airport,PUS
Daegu,Daegu Airport,TAE
Jeju,Jeju International Airport,CJU
